name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_county,gnis_latitude,gnis_longitude,latitude,longitude,state_full,state_latitude,state_longitude
JOHNSON'S MILL,JOHNSON'S MILL,MO,Dade,1875.0,1876.0,True,8.0,29504,True,1.0,True,JOHNSONS MILL,MO,741258.0,Populated Place,Dade,37.5186538,-93.7738213,37.5186538,-93.7738213,Missouri,38.29739780113773,-92.40621321592816
JOHNSTOWN,JOHNSTOWN,MO,Bates,1853.0,1916.0,False,3.0,29527,True,63.0,True,JOHNSTOWN,MO,740971.0,Populated Place,Bates,38.3100223,-94.0824436,38.3100223,-94.0824436,Missouri,38.29739780113773,-92.40621321592816
JOLLY,JOLLY,MO,Newton,1898.0,1903.0,True,5.0,29547,True,5.0,True,JOLLY,MO,740973.0,Populated Place,Newton,36.8958975,-94.0702109,36.8958975,-94.0702109,Missouri,38.29739780113773,-92.40621321592816
JONCA,JONCA,MO,St. Genevieve,1880.0,1906.0,True,5.0,29558,True,26.0,True,JONCA,MO,739953.0,Populated Place,Ste. Genevieve,37.8372745,-90.2990098,37.8372745,-90.2990098,Missouri,38.29739780113773,-92.40621321592816
JONES,JONES,MO,Cooper,1824.0,1831.0,False,8.0,29560,True,7.0,True,JONES,MO,720410.0,Cemetery,Cooper,38.7739081,-92.6396281,38.7739081,-92.6396281,Missouri,38.29739780113773,-92.40621321592816
JONES,JONES,MO,Warren,1898.0,1908.0,True,3.0,29561,True,10.0,True,JONES,MO,747915.0,School,Warren,38.8903233,-91.1679274,38.8903233,-91.1679274,Missouri,38.29739780113773,-92.40621321592816
JORDAN,JORDAN,MO,Scotland,1871.0,1875.0,True,6.0,29650,True,4.0,True,JORDAN,MO,733025.0,School,Scotland,40.5853103,-91.9718404,40.5853103,-91.9718404,Missouri,38.29739780113773,-92.40621321592816
JORDAN,JORDAN (JORDON),MO,Hickory,1906.0,1955.0,True,1.0,29660,True,49.0,True,JORDAN,MO,740974.0,Populated Place,Hickory,38.0214205,-93.1413062,38.0214205,-93.1413062,Missouri,38.29739780113773,-92.40621321592816
JOSEPHVILLE,JOSEPHVILLE,MO,St. Charles,1875.0,1910.0,True,4.0,29686,True,35.0,True,JOSEPHVILLE,MO,756234.0,Populated Place,St. Charles,38.8428292,-90.7965183,38.8428292,-90.7965183,Missouri,38.29739780113773,-92.40621321592816
JOY,JOY,MO,Dent,1890.0,1954.0,True,1.0,29704,True,64.0,True,JOY,MO,740975.0,Populated Place,Dent,37.5144884,-91.674316,37.5144884,-91.674316,Missouri,38.29739780113773,-92.40621321592816
JUDD,JUDD,MO,Carroll,1898.0,1901.0,True,6.0,29726,True,3.0,True,JUDD,MO,740215.0,Populated Place,Carroll,39.4230716,-93.7399362,39.4230716,-93.7399362,Missouri,38.29739780113773,-92.40621321592816
JUDGE,JUDGE,MO,Osage,1904.0,1922.0,True,3.0,29733,True,18.0,True,JUDGE,MO,720447.0,Populated Place,Osage,38.420599,-91.7807254,38.420599,-91.7807254,Missouri,38.29739780113773,-92.40621321592816
JUDSON,JUDSON,MO,Sullivan,1861.0,1905.0,True,4.0,29736,True,44.0,True,JUDSON,MO,733905.0,Populated Place,Sullivan,40.3119593,-93.23049,40.3119593,-93.23049,Missouri,38.29739780113773,-92.40621321592816
JUDY'S GAP,JUDY'S GAP,MO,Hickory,1847.0,1850.0,True,6.0,29745,True,3.0,True,JUDYS GAP,MO,729807.0,Populated Place,Hickory,38.0083647,-93.4724259,38.0083647,-93.4724259,Missouri,38.29739780113773,-92.40621321592816
JULESBURG,JULESBURG,MO,Schuyler,1883.0,1906.0,True,5.0,29749,True,23.0,True,JULESBURG,MO,738035.0,Populated Place,Schuyler,40.461695,-92.6060252,40.461695,-92.6060252,Missouri,38.29739780113773,-92.40621321592816
JUNCTION CITY,JUNCTION CITY,MO,Greene,1878.0,1888.0,True,6.0,29784,True,10.0,True,JUNCTION CITY,MO,735748.0,Populated Place,Greene,37.2178266,-93.3621347,37.2178266,-93.3621347,Missouri,38.29739780113773,-92.40621321592816
