name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
PAISLEY,PAISLEY,PA,Greene,1887.0,1917.0,True,3.0,43530,True,30.0,True,PAISLEY,GREENE,PA,1183215.0,Populated Place,Paisley,Greene,39.8625764,-79.9547774,284.0,1.0,39.8625764,-79.9547774,Pennsylvania,40.72547983697331,-77.55723820194132
NEVILLE,NEVILLE,SD,Mellette,1915.0,1925.0,True,3.0,150656,True,10.0,True,NEVILLE,MELLETTE,SD,1256675.0,School,Neville School,Mellette,43.44722,-100.7393,701.0,1.0,43.44722,-100.7393,South Dakota,44.30115526366251,-99.35172597315436
SPRY'S LANDING,SPRY'S LANDING,MD,Kent,1864.0,1870.0,False,7.0,115017,True,6.0,True,SPRY LANDING,KENT,MD,591340.0,Populated Place,Spry Landing,Kent,39.244,-75.95272,2.0,0.8571429,39.244,-75.95272,Maryland,39.122077160656936,-76.77834919226278
DRY FORK,DRY FORK,TN,Davidson,1894.0,1900.0,True,5.0,16050,True,6.0,True,DRY FORK,DAVIDSON,TN,1313400.0,Populated Place,Dry Fork (historical),Davidson,36.258665,-86.8522217,153.0,1.0,36.258665,-86.8522217,Tennessee,35.90304088108576,-85.8669100795989
BEAR SPRINGS,BEAR SPRINGS,TN,Stewart,1893.0,1948.0,True,1.0,3616,True,55.0,True,BEAR SPRINGS,STEWART,TN,1325370.0,School,Bear Springs School (historical),Stewart,36.4775507,-87.7533534,145.0,1.0,36.4775507,-87.7533534,Tennessee,35.90304088108576,-85.8669100795989
GUTHRIE,GUTHRIE,LA,Saint Tammany,1891.0,1896.0,True,5.0,24402,True,5.0,True,GUTHRIE,ST. TAMMANY,LA,559769.0,Populated Place,Guthrie,St. Tammany,30.3307493,-89.762008,8.0,1.0,30.3307493,-89.762008,Louisiana,31.25885839387474,-91.9906807220234
STARTLE,STARTLE,OH,Jefferson,1890.0,1907.0,True,3.0,115243,True,17.0,True,STARTLE,JEFFERSON,OH,2015522.0,Post Office,Startle Post Office (historical),Jefferson,40.19451,-80.81925,250.0,1.0,40.19451,-80.81925,Ohio,40.152075305199205,-82.69208475815202
BEGONIA,BEGONIA,NC,Gaston,1880.0,1905.0,False,5.0,67969,True,25.0,True,BEGONIA,GASTON,NC,1001603.0,Populated Place,Begonia (historical),Gaston,35.1554176,-81.1150761,202.0,1.0,35.1554176,-81.1150761,North Carolina,35.65762478682171,-79.85172837217462
INGRAM,INGRAM,NM,Roosevelt,1907.0,1915.0,True,5.0,142741,True,8.0,True,INGRAM,ROOSEVELT,NM,937394.0,Post Office,Ingram Post Office (historical),Roosevelt,34.11147,-103.7639,1383.0,1.0,34.11147,-103.7639,New Mexico,34.73405899346405,-105.84728810457516
WILCOX,WILCOX,IL,Clay,1892.0,1904.0,True,4.0,122123,True,12.0,True,WILCOX,CLAY,IL,1747763.0,Church,Wilcox Church (historical),Clay,38.63616,-88.31282,136.0,,38.63616,-88.31282,Illinois,40.10173193774704,-89.09195342628459
