e,country,city,line,start_year,end_year,length,tunnel_per,stations,cost,currency,year,real_cost,cost_km_millions
7216.0,FI,Helsinki,Ring Rail Line,2009.0,2015.0,18.0,44.0,5.0,774.0,EUR,2012.0,1005.94,55.88555556
7217.0,SE,Stockholm,Arenastaden,2020.0,2030.0,4.1,100.0,2.0,4700.0,SEK,2025.0,540.5,131.8292683
7218.0,SE,Stockholm,Nacka/Söderort,2020.0,2030.0,11.5,100.0,6.0,14400.0,SEK,2025.0,1656,144.0
7219.0,SE,Stockholm,Barkarby,2020.0,2026.0,3.3,100.0,2.0,3300.0,SEK,2023.0,379.5,115.0
7224.0,SE,Stockholm,Citybanan,2007.0,2017.0,7.4,81.0,2.0,16800.0,SEK,2007.0,1890,255.4054054
7225.0,SE,Malmo,Citytunneln,2005.0,2010.0,17.0,35.0,3.0,8450.0,SEK,2001.0,895.7,52.68823529
7226.0,UK,London,Northern Line Extension,2015.0,2021.0,3.2,100.0,2.0,1200.0,GBP,2017.0,1764,551.25
7227.0,MX,Mexico City,Line 12,2008.0,2012.0,24.5,43.0,20.0,47906.0,MXN,2010.0,6227.78,254.195102
7232.0,TW,Taipei,Wanda Line Phase 2,2021.0,2028.0,13.3,21.05,13.0,55530.0,TWD,2018.0,3776.04,283.912782
7233.0,IT,Milan,Line 5 phase 1,2007.0,2013.0,6.1,100.0,9.0,557.0,EUR,2010.0,724.1,118.704918
7234.0,IT,Milan,Line 5 phase 2,2010.0,2015.0,6.5,100.0,10.0,796.0,EUR,2012.0,1034.8,159.2
7235.0,IT,Milan,Line 4,2015.0,2023.0,15.2,100.0,21.0,1697.0,EUR,2019.0,2205.71,145.1125
7240.0,FR,Paris,GPX,2017.0,2030.0,200.0,80.0,68.0,35080.0,EUR,2012.0,45604,228.02
7241.0,IT,Milan,Passante Railway,1984.0,2008.0,13.0,60.0,10.0,915.0,EUR,1996.0,1189.5,91.5
7242.0,VN,Hanoi,Line 3,2010.0,2013.0,12.5,32.0,12.0,36000000.0,VND,2016.0,4536,362.88
7243.0,VN,Hanoi,Line 2,2011.0,2020.0,11.5,74.0,12.0,19555000.0,VND,2015.0,2463.93,214.2547826
7248.0,KR,Seoul,Sinbundang,2005.0,2011.0,17.3,100.0,6.0,1169000.0,KRW,2002.0,1519.7,87.84393064
7249.0,KR,Seoul,Sinbundang phase 2,2011.0,2018.0,12.8,100.0,7.0,1025500.0,KRW,2006.0,1333.15,104.1523438
7250.0,MX,Guadalajara,Line 3,2014.0,2020.0,21.5,25.0,18.0,31500.0,MXN,2017.0,3339,155.3023256
7251.0,DE,Leipzig,City Tunnel,2003.0,2013.0,3.6,100.0,4.0,960.0,EUR,2008.0,1248,346.6666667
7256.0,IT,Rome,Line B1 extension,2010.0,2015.0,3.9,100.0,3.0,527.0,EUR,2012.0,685.49,175.7666667
7257.0,IT,Rome,Line C - section T6a,2007.0,2013.0,2.8,100.0,4.0,399.0,EUR,2010.0,518.7,185.25
7258.0,IT,Rome,Line C - section T4-5,2007.0,2013.0,7.3,100.0,9.0,1090.0,EUR,2010.0,1417,194.109589
7259.0,IT,Rome,Line C - section T3,2013.0,2023.0,2.8,100.0,2.0,735.0,EUR,2018.0,955.5,341.25
7264.0,DE,Berlin,U55,2004.0,2009.0,1.8,100.0,3.0,320.0,EUR,2006.0,416,231.1111111
7265.0,DE,Berlin,U5-U55 connection,2010.0,2020.0,2.2,100.0,3.0,525.0,EUR,2015.0,682.5,310.2272727
7266.0,BE,Brussels,Line 3,2020.0,2028.0,4.4,100.0,7.0,900.0,EUR,2024.0,1170,265.9090909
7267.0,DK,Copenhagen,City Circle Line,2009.0,2019.0,15.5,100.0,17.0,25300.0,DKK,2014.0,3491.4,225.2516129
7272.0,NO,Oslo,Løren Line,2013.0,2016.0,1.6,100.0,1.0,1330.0,NOK,2014.0,142.31,88.94375
7273.0,NO,Oslo,Fornebu Line,2020.0,2027.0,8.2,100.0,6.0,16000.0,NOK,2020.0,1600,195.1219512
7274.0,AU,Sydney,Metro City & SW,2017.0,2024.0,30.0,51.0,7.0,15500.0,AUD,2021.0,10695,356.5
7275.0,AU,Sydney,Metro NW,2013.0,2019.0,36.0,42.0,13.0,7800.0,AUD,2016.0,5382,149.5
7280.0,AU,Melbourne,Metro Tunnel,2018.0,2025.0,9.0,100.0,5.0,11000.0,AUD,2021.0,7590,843.3333333
7281.0,SG,Singapore,Downtown MRT Line,2008.0,2017.0,41.9,100.0,34.0,21000.0,SGD,2012.0,24780,591.4081146
7282.0,SG,Singapore,Thomson MRT Line,2014.0,2024.0,43.0,100.0,32.0,25000.0,SGD,2019.0,28250,656.9767442
7283.0,CA,Toronto,Eglinton Crosstown,2011.0,2022.0,19.0,53.0,25.0,5300.0,CAD,2016.0,4399,231.5263158
7288.0,IN,Mumbai,Monorail,2009.0,2019.0,20.2,0.0,17.0,30000.0,INR,2014.0,1620,80.1980198
7289.0,IN,Mumbai,Line 3,2016.0,2022.0,33.5,100.0,27.0,320000.0,INR,2019.0,15040,448.9552239
7290.0,IN,Mumbai,Line 2A,2016.0,2021.0,18.6,0.0,17.0,64100.0,INR,2018.0,3076.8,165.4193548
7291.0,IN,Mumbai,Line 2B,2018.0,2023.0,23.5,0.0,22.0,109860.0,INR,2020.0,5163.42,219.72
7296.0,IN,Mumbai,Line 4,2018.0,2022.0,32.3,0.0,32.0,145490.0,INR,2020.0,6838.03,211.7037152
7297.0,IN,Mumbai,Line 4A,2019.0,2022.0,2.7,0.0,2.0,7860.0,INR,2017.0,377.28,139.7333333
7298.0,IN,Mumbai,Line 5,2017.0,2024.0,24.9,0.0,16.0,84165.0,INR,2020.0,3955.755,158.8656627
7299.0,IN,Mumbai,Line 6,2017.0,2022.0,14.5,0.0,13.0,55670.0,INR,2016.0,2783.5,191.9655172
7304.0,IN,Mumbai,Line 7,2016.0,2021.0,16.5,0.0,16.0,62080.0,INR,2018.0,2979.84,180.5963636
7305.0,IN,Mumbai,Line 7A + 9,2019.0,2022.0,13.5,16.0,11.0,65180.0,INR,2020.0,3063.46,226.922963
7306.0,IN,Mumbai,Line 10,2020.0,2024.0,9.2,8.0,4.0,38210.0,INR,2018.0,1834.08,199.3565217
7307.0,IN,Mumbai,Line 11,2020.0,2026.0,12.8,69.0,10.0,70850.0,INR,2018.0,3400.8,265.6875
7312.0,IN,Mumbai,Line 12,2020.0,2026.0,20.8,0.0,17.0,47380.0,INR,2018.0,2274.24,109.3384615
7313.0,GR,Athens,Line 4,2019.0,2027.0,12.8,100.0,15.0,1328.0,EUR,2023.0,1726.4,134.875
7314.0,GR,Athens,Line 3 to Piraeus,2012.0,2021.0,7.6,100.0,6.0,742.0,EUR,2016.0,964.6,126.9210526
7315.0,GR,Thessaloniki,Main line,2006.0,2020.0,9.5,100.0,13.0,1112.0,EUR,2014.0,1445.6,152.1684211
7320.0,GR,Thessaloniki,Kalamaria Extension,2013.0,2021.0,4.8,100.0,5.0,567.0,EUR,2017.0,737.1,153.5625
7321.0,KR,Busan,Line 1 extension,2009.0,2017.0,8.0,100.0,6.0,959000.0,KRW,2013.0,1102.85,137.85625
7322.0,KR,Seoul,Gimpo Urban Railway,2014.0,2019.0,23.7,100.0,10.0,1655300.0,KRW,2016.0,1920.148,81.01890295
7323.0,KR,Seoul,Line 7 extension,2014.0,2021.0,3.9,100.0,2.0,432100.0,KRW,2017.0,475.31,121.874359
7328.0,KR,Seoul,2020s program,2020.0,2028.0,71.0,100.0,53.0,7230200.0,KRW,2024.0,7953.22,112.0171831
7329.0,SG,Singapore,Circle Line Stage 6,2017.0,2025.0,4.0,100.0,3.0,4850.0,SGD,2021.0,5480.5,1370.125
7330.0,FR,Paris,Line 12 to Aubervilliers,2012.0,2021.0,1.7,100.0,2.0,175.0,EUR,2006.0,218.875,128.75
7331.0,FR,Paris,Line 1 extension,2020.0,2030.0,4.9,100.0,3.0,910.0,EUR,2012.0,1183,241.4285714
7336.0,UK,London,Jubilee line extension,1993.0,1999.0,16.0,80.0,11.0,3500.0,GBP,1996.0,4900,306.25
7337.0,CL,Santiago,Line 7,2021.0,2026.0,24.8,100.0,21.0,2900.0,USD,2022.0,4930,198.7903226
7338.0,CL,Santiago,Project 63,2013.0,2019.0,37.0,100.0,28.0,3000.0,USD,2016.0,5100,137.8378378
