name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
SOUTHDOWN,SOUTHDOWN,IL,McLean,1891.0,1903.0,True,5.0,114518,True,12.0,True,SOUTH DOWNS,MCLEAN,IL,418744.0,School,South Downs School (historical),McLean,40.2967,-88.86258,241.0,0.7777778,40.2967,-88.86258,Illinois,40.10173193774704,-89.09195342628459
WHEATLAND,WHEATLAND,MI,Wexford,1872.0,1878.0,True,7.0,121636,True,6.0,True,WHEATLAND,WEXFORD,MI,2509053.0,Post Office,Wheatland Post Office (historical),Wexford,44.39528,-85.55972,368.0,1.0,44.39528,-85.55972,Michigan,43.64460033559263,-84.97948272513034
MAHASKA,MAHASKA,MO,Harrison,1894.0,1895.0,True,7.0,34812,True,1.0,True,MAHASKA,HARRISON,MO,721756.0,School,Mahaska School,Harrison,40.3599992,-94.0727308,322.0,1.0,40.3599992,-94.0727308,Missouri,38.29739780113773,-92.40621321592816
BILLMEYER,BILLMEYER,PA,Lancaster,1902.0,1941.0,True,2.0,4933,True,39.0,True,BILLMEYER,LANCASTER,PA,1203095.0,Populated Place,Billmeyer,Lancaster,40.0723181,-76.651078,87.0,1.0,40.0723181,-76.651078,Pennsylvania,40.72547983697331,-77.55723820194132
LAVEROCK,LAVEROCK,PA,Montgomery,1899.0,1908.0,True,3.0,31875,True,9.0,True,LAVEROCK,MONTGOMERY,PA,1179041.0,Populated Place,Laverock,Montgomery,40.0951105,-75.1810096,102.0,1.0,40.0951105,-75.1810096,Pennsylvania,40.72547983697331,-77.55723820194132
SAINT MARY'S,SAINT MARY'S,WI,Milwaukee,1843.0,1845.0,True,8.0,111534,True,2.0,True,SAINT MARYS,MILWAUKEE,WI,1573332.0,School,Saint Marys School,Milwaukee,42.91391,-87.86786,208.0,1.0,42.91391,-87.86786,Wisconsin,44.176831579177936,-89.75962788128719
GORDON,GORDON,KS,Butler,1884.0,1936.0,True,2.0,139235,True,52.0,True,GORDON,BUTLER,KS,475032.0,Populated Place,Gordon,Butler,37.58863,-96.99059,371.0,1.0,37.58863,-96.99059,Kansas,38.52652031092821,-97.41166347965247
VALFONTIS,VALFONTIS,OR,Polk,1854.0,1865.0,True,8.0,162948,True,11.0,True,VALFONTIS,POLK,OR,1164752.0,Post Office,Valfontis Post Office (historical),Polk,45.01984,-123.0804,40.0,1.0,45.01984,-123.0804,Oregon,44.44548039933444,-121.82370232945092
GROSS POINT,GROSS POINT (2),IL,Cook,1857.0,1929.0,False,1.0,86586,True,72.0,True,GROSS POINT,COOK,IL,409528.0,Populated Place,Gross Point,Cook,42.07892,-87.72256,192.0,1.0,42.07892,-87.72256,Illinois,40.10173193774704,-89.09195342628459
EAST SOMERVILLE,EAST SOMERVILLE,MA,Middlesex,1861.0,1873.0,True,6.0,17211,True,12.0,True,EAST SOMERVILLE,MIDDLESEX,MA,612735.0,Populated Place,East Somerville,Middlesex,42.3856525,-71.0856075,9.0,1.0,42.3856525,-71.0856075,Massachusetts,42.24690810801527,-71.56362919796437
BIG VALLEY,BIG VALLEY,CA,Lassen,1873.0,1877.0,False,8.0,127247,True,4.0,True,BIG VALLEY,LASSEN,CA,253113.0,School,Big Valley High School,Lassen,41.12183,-121.1408,1257.0,1.0,41.12183,-121.1408,California,37.39580678039404,-120.4122934166266
HUFFMAN,HUFFMAN,WV,Barbour,1881.0,1907.0,True,5.0,90101,True,26.0,True,HUFFMAN,BARBOUR,WV,1697079.0,Populated Place,Huffman (historical),Barbour,39.06816,-79.9173,514.0,1.0,39.06816,-79.9173,West Virginia,38.621691901095794,-80.8000481173913
FOREST,FOREST,AL,Butler,1888.0,1899.0,True,5.0,20601,True,11.0,True,FOREST,BUTLER,AL,157208.0,Populated Place,Forest,Butler,31.7579325,-86.6655299,119.0,1.0,31.7579325,-86.6655299,Alabama,33.03209749119171,-86.72512276024179
RIDERVILLE,RIDERVILLE,AL,Chilton,1897.0,1920.0,True,3.0,48601,True,23.0,True,RIDERVILLE,CHILTON,AL,160487.0,Populated Place,Riderville,Chilton,32.6773525,-86.9313783,94.0,1.0,32.6773525,-86.9313783,Alabama,33.03209749119171,-86.72512276024179
LINCOLN VALLEY,LINCOLN VALLEY,ND,Sheridan,1912.0,1961.0,True,1.0,146056,True,49.0,True,LINCOLN VALLEY,SHERIDAN,ND,1029912.0,Populated Place,Lincoln Valley,Sheridan,47.63833,-100.3043,547.0,1.0,47.63833,-100.3043,North Dakota,47.49648331707317,-99.80502257317072
SAINT JOHNS,SAINT JOHNS,NY,Rockland,1883.0,1915.0,True,3.0,50526,True,32.0,True,SAINT JOHNS,ROCKLAND,NY,963634.0,Church,Saint Johns Catholic Church,Rockland,41.051208,-73.9190254,3.0,,41.051208,-73.9190254,New York,42.62246135933227,-75.57093866626391
GUTHRIE,GUTHRIE,IL,Ford,1876.0,1952.0,True,1.0,86800,True,76.0,True,GUTHRIE,FORD,IL,409581.0,Populated Place,Guthrie,Ford,40.50837,-88.32505,246.0,1.0,40.50837,-88.32505,Illinois,40.10173193774704,-89.09195342628459
SIGNAL,SIGNAL,OH,Columbiana,1890.0,1959.0,True,1.0,113452,True,69.0,True,SIGNAL,COLUMBIANA,OH,1966909.0,Post Office,Signal Post Office (historical),Columbiana,40.79867,-80.65952,339.0,1.0,40.79867,-80.65952,Ohio,40.152075305199205,-82.69208475815202
CANARY,CANARY,OR,Lane,1916.0,1940.0,True,2.0,129648,True,24.0,True,CANARY,LANE,OR,1165006.0,Post Office,Canary Post Office (historical),Lane,43.9279,-124.0354,20.0,1.0,43.9279,-124.0354,Oregon,44.44548039933444,-121.82370232945092
NEW JASPER,NEW JASPER,OH,Greene,1847.0,1905.0,True,3.0,102041,True,58.0,True,NEW JASPER,GREENE,OH,1988755.0,Post Office,New Jasper Post Office (historical),Greene,39.65423,-83.81937,313.0,1.0,39.65423,-83.81937,Ohio,40.152075305199205,-82.69208475815202
LACKLAND,LACKLAND,MO,St. Louis,1909.0,1910.0,True,4.0,31080,True,1.0,True,OAKLAND,ST. LOUIS,MO,756470.0,Populated Place,Oakland,St. Louis,38.5764418,-90.3856733,187.0,0.75,38.5764418,-90.3856733,Missouri,38.29739780113773,-92.40621321592816
MC LEMORE,MC LEMORE,MS,Coahoma,1891.0,1897.0,True,3.0,36308,True,6.0,True,MCLEMORE,COAHOMA,MS,689300.0,School,McLemore School (historical),Coahoma,34.2642731,-90.6717692,51.0,1.0,34.2642731,-90.6717692,Mississippi,32.904513690654625,-89.66801400419865
AQUEDUCT CITY,AQUEDUCT CITY,CA,Amador,1855.0,1855.0,True,9.0,125120,True,0.0,True,AQUEDUCT CITY,AMADOR,CA,2791942.0,Cemetery,Aqueduct City Cemetery,Amador,38.39736,-120.6313,757.0,1.0,38.39736,-120.6313,California,37.39580678039404,-120.4122934166266
PICKWICK,PICKWICK,TN,Hardin,1883.0,1907.0,True,5.0,44981,True,24.0,True,PICKWICK,HARDIN,TN,1652264.0,Post Office,Pickwick Post Office,Hardin,35.0519233,-88.2418256,137.0,1.0,35.0519233,-88.2418256,Tennessee,35.90304088108576,-85.8669100795989
BLUFFTON,BLUFFTON,TN,Cocke,1913.0,1928.0,True,3.0,5672,True,15.0,True,BLUFFTON,COCKE,TN,1327674.0,Populated Place,Bluffton,Cocke,35.810653,-83.1757075,374.0,1.0,35.810653,-83.1757075,Tennessee,35.90304088108576,-85.8669100795989
POPLAR,POPLAR,SC,Horry,1891.0,1894.0,True,7.0,46229,True,3.0,True,POPLAR,HORRY,SC,1225628.0,School,Poplar School,Horry,33.943503,-79.0292018,19.0,1.0,33.943503,-79.0292018,South Carolina,34.12136880118953,-81.13033261165741
TWIN CREEK,TWIN CREEK,AR,Izard,1908.0,1962.0,True,1.0,58544,True,54.0,True,TWIN CREEK,IZARD,AR,73922.0,Populated Place,Twin Creek,Izard,35.9456283,-92.036262,102.0,1.0,35.9456283,-92.036262,Arkansas,35.01494461423343,-92.50292319068728
TOPBAR,TOPBAR,SD,Haakon,1901.0,1916.0,True,4.0,162037,True,15.0,True,TOPBAR,HAAKON,SD,1266355.0,Cemetery,Topbar Cemetery,Haakon,44.38724,-101.7205,764.0,1.0,44.38724,-101.7205,South Dakota,44.30115526366251,-99.35172597315436
DANTZLER,DANTZLER,MS,Jackson,1909.0,1920.0,True,4.0,14245,True,11.0,True,DANTZLER,JACKSON,MS,693049.0,Populated Place,Dantzler,Jackson,30.7129695,-88.8755905,52.0,1.0,30.7129695,-88.8755905,Mississippi,32.904513690654625,-89.66801400419865
SCHLESSER,SCHLESSER,MI,Chippewa,1892.0,1902.0,True,6.0,112240,True,10.0,True,SCHLESSER,CHIPPEWA,MI,2354323.0,Post Office,Schlesser Post Office (historical),Chippewa,46.01444,-84.09167,217.0,1.0,46.01444,-84.09167,Michigan,43.64460033559263,-84.97948272513034
LONG,LONG,AL,Dallas,1899.0,1906.0,True,5.0,33608,True,7.0,True,LONG,DALLAS,AL,122000.0,Cemetery,Long Cemetery,Dallas,32.3999999,-87.4083293,67.0,1.0,32.3999999,-87.4083293,Alabama,33.03209749119171,-86.72512276024179
